No.,Team ,Shots Per Game ,Yellow Cards,Red Cards,Possession%,PassSuccess%,AerialsWon,Rating,Top10
1,Arsenal,15.1,40,4,56.9,84.2,15.2,7.08,Yes
2,Leicester,13.7,48,3,44.8,70.5,18.8,7.06,Yes
3,Tottenham,17.3,72,0,55.3,80.5,14.3,7.01,Yes
4,Manchester City,16.2,61,0,55.2,83.1,15.7,7.01,Yes
5,West Ham,14.7,58,5,49.1,77.6,17.7,6.92,Yes
6,Southampton,13.7,57,6,49.3,77.7,19.3,6.91,Yes
7,Liverpool,16.6,61,3,55.0,80.2,16.5,6.91,Yes
8,Everton,12.9,44,5,51.5,81.4,12.9,6.88,Yes
9,Chelsea,13.8,58,5,54.4,82.5,14.1,6.87,Yes
10,Manchester United,11.3,65,1,55.9,82.3,13.1,6.83,Yes
11,Watford,11.7,73,3,46.3,72.6,17.4,6.8,No
12,Crystal Palace,12.3,60,2,46.8,74.4,17.8,6.76,No
13,Sunderland,11.6,64,2,43.3,71.0,17.3,6.76,No
14,Swansea,11.6,60,1,52.0,80.9,13.7,6.75,No
15,Stoke,11.0,51,4,50.0,79.1,16.4,6.74,No
16,Newcastle United,10.4,60,5,47.4,76.6,13.9,6.73,No
17,West Bromwich Albion,10.2,65,3,42.2,70.0,19.1,6.72,No
18,Bournemouth,12.2,53,1,51.0,79.8,15.3,6.71,No
19,Aston Villa,10.0,75,3,47.3,77.8,19.1,6.69,No
20,Norwich,11.0,61,3,46.5,73.6,17.4,6.61,No
1,Arsenal,16.1,68,2,55.7,83.8,19.8,7.15,Yes
2,Manchester City,17.6,77,2,57.0,84.6,15.9,7.07,Yes
3,Chelsea,14.8,73,4,54.1,83.2,18.6,7.06,Yes
4,Manchester United,13.5,64,5,58.8,85.1,15.8,6.99,Yes
5,Southampton,13.4,57,3,51.9,79.7,16.9,6.91,Yes
6,Liverpool,15.5,66,3,54.4,82.8,15.0,6.9,Yes
7,Tottenham,13.9,79,4,55.3,81.2,16.0,6.89,Yes
8,Stoke,13.2,82,1,50.2,77.5,24.4,6.87,Yes
9,Swansea,11.2,48,5,50.7,82.1,14.4,6.86,Yes
10,West Ham,12.9,64,2,46.7,74.6,22.9,6.85,Yes
11,Leicester,12.0,50,4,44.8,71.1,23.4,6.84,No
12,Crystal Palace,11.6,63,4,42.7,69.4,23.7,6.83,No
13,Everton,12.7,66,2,53.6,82.5,15.3,6.82,No
14,Burnley,11.3,64,2,44.0,70.4,25.1,6.79,No
15,West Bromwich Albion,10.8,64,3,44.9,75.0,17.2,6.77,No
16,Queens Park Rangers,14.1,75,3,46.3,70.8,21.7,6.77,No
17,Hull,11.3,73,6,45.6,76.5,21.9,6.75,No
18,Sunderland,10.7,94,2,46.2,76.1,15.3,6.75,No
19,Newcastle United,12.3,65,7,48.1,76.9,17.7,6.74,No
20,Aston Villa,11.0,70,7,49.1,79.0,18.5,6.69,No
1,Liverpool,17.1,54,1,54.8,84.1,15.2,7.18,Yes
2,Manchester City,17.7,72,1,55.7,85.5,15.2,7.13,Yes
3,Chelsea,18.2,57,3,53.9,82.7,19.3,7.07,Yes
4,Arsenal,13.8,53,4,55.7,85.5,17.9,7.05,Yes
5,Everton,14.8,55,1,54.4,83.2,14.3,7.01,Yes
6,Manchester United,13.8,66,3,54.4,84.0,15.4,6.96,Yes
7,Southampton,14.1,60,0,56.5,81.1,17.4,6.91,Yes
8,Crystal Palace,10.9,58,2,41.0,70.2,23.2,6.85,Yes
9,Tottenham,15.4,66,4,53.4,81.1,15.0,6.84,Yes
10,Stoke,11.3,72,5,48.0,77.3,25.3,6.83,Yes
11,Newcastle United,15.2,52,6,49.8,79.4,20.6,6.82,No
12,Swansea,13.0,55,3,55.6,84.8,14.9,6.81,No
13,West Ham,11.1,62,5,44.2,73.1,21.2,6.79,No
14,West Bromwich Albion,12.8,67,0,47.2,77.1,18.2,6.75,No
15,Hull,11.3,53,4,45.8,76.1,18.9,6.72,No
16,Aston Villa,11.3,78,0,44.9,73.2,19.3,6.71,No
