#,Team,GP,MPG,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,TOV,PF,ORB,DRB,RPG,APG,SPG,BPG,PPG,Playoffs
1,Golden State,82,48.2,41.5,90.3,.459,9.3,26.6,.348,18.8,24.9,.752,13.2,22.9,12.7,30.4,43.2,22.4,9.1,4.6,111.0,No
2,Denver,82,48.4,40.3,85.8,.470,6.9,19.6,.355,23.1,30.7,.751,14.7,21.1,11.2,32.9,44.1,24.7,9.2,6.7,110.7,Yes
3,Phoenix,82,48.2,41.4,82.7,.500,8.5,21.5,.393,18.9,24.1,.783,14.4,19.9,8.8,32.7,41.5,26.7,6.5,6.3,110.1,Yes
4,L.A. Lakers,82,48.2,39.6,83.1,.476,8.1,21.4,.378,21.3,27.7,.769,14.1,20.6,11.0,33.2,44.1,24.4,8.0,5.3,108.6,Yes
5,Utah,82,48.1,40.0,80.4,.497,5.0,13.4,.372,21.3,28.0,.759,14.6,24.0,11.5,29.4,40.9,26.4,8.7,4.3,106.2,Yes
6,Orlando,82,48.2,37.3,78.6,.474,9.8,25.3,.386,20.1,27.9,.721,14.3,20.6,9.4,32.6,42.0,20.8,6.3,4.1,104.5,Yes
7,Indiana,82,48.2,37.8,85.3,.444,9.2,24.6,.374,19.1,24.9,.768,15.1,23.4,11.0,32.1,43.1,22.7,7.6,5.0,104.0,No
8,Sacramento,82,48.4,37.1,80.0,.464,6.2,16.7,.373,22.1,27.7,.798,16.2,22.4,10.1,30.0,40.1,19.1,7.9,4.1,102.5,No
9,New Orleans,82,48.3,38.6,82.9,.466,7.7,19.8,.389,16.0,20.8,.769,11.9,18.7,11.4,30.4,41.8,21.8,7.8,3.9,100.9,Yes
10,Memphis,82,48.3,37.3,82.2,.454,7.6,21.7,.349,18.5,25.6,.723,15.2,19.4,10.3,31.3,41.6,19.2,6.1,4.7,100.7,No
11,Boston,82,48.2,36.4,76.7,.475,7.3,19.1,.381,20.5,26.5,.771,15.2,22.7,10.1,31.9,42.0,22.4,8.5,4.6,100.5,Yes
12,Dallas,82,48.1,36.9,79.5,.464,6.0,17.1,.352,20.6,25.3,.814,12.7,21.8,10.8,32.2,43.0,21.0,6.0,4.9,100.4,Yes
13,Toronto,82,48.4,38.4,82.0,.468,7.0,17.8,.392,16.4,20.2,.812,11.7,19.5,9.6,30.4,40.1,23.8,7.0,4.1,100.2,Yes
14,Washington,82,48.5,36.4,81.6,.446,7.0,19.7,.356,19.0,24.3,.782,13.2,19.6,12.3,29.3,41.6,19.6,7.7,4.8,98.8,Yes
15,Atlanta,82,48.4,36.3,79.9,.454,4.7,13.1,.356,21.0,27.2,.772,14.9,20.4,12.3,29.9,42.2,22.0,7.3,5.5,98.2,Yes
