Team,GF60,GA60,CF%,Sh%,Sv%,OZFO%,DZFO%,NZFO%,PP%,PK%,Playoffs
Anaheim,2.35,2.21,50.7,8.76,91.98,31.2,29.5,39.2,16.6,83.1,Yes
Arizona,2.5,2.7,49.0,8.41,91.08,30.6,31.7,37.7,18.6,80.7,No
Boston,2.47,2.56,49.8,8.83,91.46,30.1,32.7,37.1,17.2,78.6,Yes
Buffalo,3.01,2.79,50.2,10.14,89.97,31.6,29.6,38.8,18.0,83.2,No
Calgary,2.73,2.7,52.0,9.76,90.39,31.2,30.1,38.7,16.8,81.5,Yes
Carolina,3.01,2.94,52.9,9.3,89.66,32.5,29.1,38.4,18.3,78.9,No
Chicago,2.82,2.78,49.2,10.19,90.15,30.9,29.7,39.4,15.6,82.1,No
Colorado,2.7,2.59,48.3,9.54,90.38,31.5,29.8,38.7,14.3,81.4,Yes
Columbus,2.29,2.5,52.0,7.99,90.73,30.2,32.0,37.9,14.6,83.3,No
Dallas,2.86,2.46,51.7,10.84,90.43,30.7,28.9,40.4,18.4,85.6,Yes
Detroit,3.0,2.15,59.1,8.85,90.77,36.3,25.0,38.7,20.7,84.0,Yes
Edmonton,2.62,2.93,45.8,10.21,90.43,28.9,33.1,38.0,16.6,84.7,No
Florida,2.51,2.63,48.5,8.22,92.04,31.6,33.7,34.7,18.8,82.3,No
Los Angeles,2.73,3.17,47.5,9.64,89.97,31.7,30.6,37.6,17.4,78.0,No
Minnesota,2.64,2.52,49.3,9.93,91.44,28.2,34.4,37.3,18.9,85.2,Yes
Montreal,3.08,2.58,47.1,10.77,91.68,29.2,32.4,38.4,24.3,82.5,Yes
Nashville,2.73,2.66,50.9,9.37,90.92,30.1,31.3,38.6,14.8,85.4,Yes
New Jersey,2.37,2.31,52.5,8.35,91.46,31.9,28.0,40.1,15.6,82.8,Yes
NY Islanders,2.26,2.88,49.1,7.73,90.38,28.5,33.2,38.3,14.5,71.9,No
NY Rangers,2.45,2.25,53.9,7.95,91.13,34.6,25.4,40.0,16.5,84.5,Yes
Ottawa,3.1,2.92,51.2,10.43,90.13,30.8,28.5,40.7,18.3,81.0,Yes
Philadelphia,2.93,2.73,47.6,10.33,91.29,28.1,33.4,38.5,22.1,83.2,Yes
Pittsburgh,2.89,2.55,46.4,10.59,91.6,29.7,32.1,38.2,20.4,81.0,Yes
San Jose,2.57,2.25,53.4,8.85,90.55,32.8,26.9,40.4,18.7,85.8,Yes
St. Louis,2.42,2.78,46.8,9.4,89.72,28.2,32.0,39.8,14.4,84.4,No
